Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player,Bust
Karl-Anthony Towns,C,karl-anthony-towns,2015,1.030605703,0.134766667,0.427183333,0.163083333,0.274966667
Justise Winslow,SF,justise-winslow,2015,0.875328997,0.083528571,0.510904762,0.176766667,0.2288
Stanley Johnson,SF,stanley-johnson,2015,0.679493305,0.0678,0.423733333,0.2785,0.229966667
Jahlil Okafor,C,jahlil-okafor,2015,0.521661276,0.058716667,0.4099,0.235533333,0.29585
D`Angelo Russell,PG,d-angelo-russell,2015,0.511966664,0.152033333,0.342283333,0.096583333,0.4091
Dakari Johnson,C,dakari-johnson,2015,0.491787354,0.021340778,0.36754357,0.417571997,0.193543655
Devin Booker,SG,3-devin-booker,2015,0.472577305,0.073366667,0.324466667,0.390166667,0.212
Willie Cauley-Stein,C,willie-cauley-stein,2015,0.351171383,0.047114455,0.405989863,0.243185719,0.303709963
Rondae Hollis-Jefferson,SF,rondae-hollis-jefferson,2015,0.311909198,0.014589784,0.368533143,0.392480667,0.224396406
Trey Lyles,PF,trey-lyles,2015,0.267509411,0.022385714,0.351328571,0.403052381,0.223233333
